1F,4316.000,192.000,0.012,0.013,4962.000,350.000,0,0
1P,2194.000,68.000,0.000,0.000,1548.000,85.000,0.066,0.048
2F,443.000,24.000,0.000,0.000,636.000,81.000,0.07,0.047
2P,2755.000,131.000,0.017,0.021,2558.000,337.000,0.366,0.272
3F,1402.000,122.000,0.000,0.000,2027.000,282.000,0,0
3P,619.000,61.000,0.110,0.101,,,,
4F,7589.000,514.000,0.000,0.000,7589.000,940.000,0,0
5F,1355.000,251.000,0.089,0.065,286.000,146.000,0.269,0.15
5P,980.000,141.000,0.079,0.062,2050.000,1010.000,0.652,0.163
6F,1675.000,69.000,0.032,0.038,732.000,77.000,0,0
6P,4987.000,181.000,0.000,0.000,5929.000,925.000,0.118,0.027
7F,2181.000,89.000,0.025,0.028,1742.000,174.000,0.032,0.028
7P,5275.000,66.000,0.000,0.000,4948.000,108.000,0.052,0.072
8F,1746.000,169.000,0.159,0.122,1595.000,105.000,0,0
8P,83.000,11.000,0.393,0.472,,,,
9F,2435.000,246.000,0.000,0.000,2858.000,253.000,0,0
9P,2889.000,132.000,0.119,0.107,,,,
10F,1465.000,92.000,0.000,0.000,2659.000,202.000,0.056,0.094
10P,6082.000,371.000,0.012,0.012,4888.000,245.000,0.103,0.063
11P,26867.000,355.000,0.233,0.161,26867.000,1249.000,0.507,0.163
12P,54829.000,246.000,0.027,0.023,54829.000,609.000,0.009,0.014
Total,132169.000,3531.000,0.068,0.046,128703.000,7176.000,0.142,0.037
